西宁 11330696.32,4361026.15;11330696.32,4361026.15 12 66
果洛州 11160049.66,4068648.79;11160049.66,4068648.79 11 72
海东地区 11364196.91,4346416.20;11364196.91,4346416.20 11 69
海北州 11233082.00,4407699.81;11233082.00,4407699.81 11 67
海南州 11201849.48,4315366.61;11201849.48,4315366.61 11 68
海西州 10840167.65,4466420.60;10840167.65,4466420.60 11 65
黄南州 11357104.42,4210552.23;11357104.42,4210552.23 11 70
玉树州 10799564.22,3873278.70;10799564.22,3873278.70 14 71
济南 13024668.93,4367677.68;13024668.93,4367677.68 12 288
滨州 13133527.36,4467194.49;13133527.36,4467194.49 12 235
东营 13211657.34,4474396.04;13211657.34,4474396.04 12 174
德州 12953925.37,4474580.65;12953925.37,4474580.65 12 372
菏泽 12856171.36,4171584.19;12856171.36,4171584.19 13 353
济宁 12979309.45,4196147.53;12979309.45,4196147.53 13 286
莱芜 13100578.78,4305364.38;13100578.78,4305364.38 13 124
聊城 12912319.45,4338843.70;12912319.45,4338843.70 12 366
临沂 13176251.17,4154108.34;13176251.17,4154108.34 12 234
青岛 13401837.54,4285189.34;13401837.54,4285189.34 12 236
日照 13306564.91,4196491.41;13306564.91,4196491.41 12 173
泰安 13035085.64,4303516.59;13035085.64,4303516.59 13 325
威海 13595401.96,4485477.04;13595401.96,4485477.04 13 175
潍坊 13265880.80,4373425.72;13265880.80,4373425.72 12 287
烟台 13520391.89,4478567.99;13520391.89,4478567.99 12 326
枣庄 13061092.42,4114359.32;13061092.42,4114359.32 13 172
淄博 13142661.64,4388087.46;13142661.64,4388087.46 12 354
太原 12529930.90,4535569.28;12529930.90,4535569.28 12 176
长治 12592936.95,4302923.18;12592936.95,4302923.18 12 356
大同 12613353.15,4850172.87;12613353.15,4850172.87 12 355
晋城 12563399.07,4206461.93;12563399.07,4206461.93 13 290
晋中 12552452.84,4509743.73;12552452.84,4509743.73 13 238
临汾 12415169.68,4288164.44;12415169.68,4288164.44 13 368
吕梁 12373082.99,4486337.07;12373082.99,4486337.07 14 327
朔州 12516697.56,4742848.38;12516697.56,4742848.38 13 237
忻州 12550385.50,4612465.04;12550385.50,4612465.04 12 367
阳泉 12644594.24,4533526.95;12644594.24,4533526.95 13 357
运城 12358087.32,4143554.87;12358087.32,4143554.87 13 328
西安 12127979.30,4051219.02;12127979.30,4051219.02 12 233
安康 12137955.19,3831014.01;12137955.19,3831014.01 13 324
宝鸡 11938466.12,4053945.15;11938466.12,4053945.15 12 171
汉中 11914676.68,3881573.31;11914676.68,3881573.31 13 352
商洛 12239363.89,3988196.86;12239363.89,3988196.86 13 285
铜川 12128563.87,4126025.65;12128563.87,4126025.65 13 232
渭南 12191480.30,4072477.69;12191480.30,4072477.69 13 170
咸阳 12102309.35,4049630.47;12102309.35,4049630.47 13 323
延安 12189211.80,4356542.48;12189211.80,4356542.48 13 284
榆林 12216466.90,4593875.52;12216466.90,4593875.52 12 231
成都 11585280.82,3555907.48;11585280.82,3555907.48 12 75
阿坝州 11380447.43,3728135.84;11380447.43,3728135.84 15 185
巴中 11883920.39,3723861.98;11883920.39,3723861.98 14 239
达州 11964137.24,3638270.40;11964137.24,3638270.40 14 369
德阳 11622362.13,3627752.59;11622362.13,3627752.59 13 74
甘孜州 11351270.07,3489052.11;11351270.07,3489052.11 15 73
广安 11871214.28,3541176.83;11871214.28,3541176.83 13 241
广元 11783295.50,3798312.77;11783295.50,3798312.77 13 329
乐山 11551964.13,3425607.32;11551964.13,3425607.32 13 79
凉山州 11385209.55,3214652.80;11385209.55,3214652.80 14 80
泸州 11738666.92,3339249.69;11738666.92,3339249.69 14 331
南充 11813044.63,3590307.23;11813044.63,3590307.23 13 291
眉山 11561219.34,3492400.33;11561219.34,3492400.33 13 77
绵阳 11653737.32,3671864.49;11653737.32,3671864.49 12 240
内江 11695912.71,3429133.90;11695912.71,3429133.90 13 248
攀枝花 11324127.59,3052807.13;11324127.59,3052807.13 14 81
遂宁 11755371.73,3551132.57;11755371.73,3551132.57 12 330
雅安 11471193.10,3484711.19;11471193.10,3484711.19 13 76
宜宾 11649500.33,3324086.52;11649500.33,3324086.52 13 186
资阳 11647976.56,3499246.97;11647976.56,3499246.97 13 242
自贡 11664727.60,3398547.28;11664727.60,3398547.28 13 78
台北 13533673.75,2862507.48;13533673.75,2862507.48 12 9002
高雄 13394415.23,2569925.06;13394415.23,2569925.06 12 9019
台中 13431669.10,2756071.63;13431669.10,2756071.63 13 9017
台南 13380257.71,2614483.91;13380257.71,2614483.91 13 9016
新北 13522816.84,2859381.31;13522816.84,2859381.31 0 9010
基隆 13553884.53,2873965.66;13553884.53,2873965.66 13 9011
新竹 13467483.44,2834281.15;13467483.44,2834281.15 13 9018
嘉义 13392285.41,2670865.16;13392285.41,2670865.16 13 9013
拉萨 10143656.46,3437319.30;10143656.46,3437319.30 13 100
阿里地区 9033885.83,3534094.27;9033885.83,3534094.27 11 103
昌都地区 10818767.17,3628719.40;10818767.17,3628719.40 15 99
林芝地区 10505124.16,3437918.80;10505124.16,3437918.80 11 98
那曲地区 10247938.89,3673034.81;10247938.89,3673034.81 14 101
日喀则地区 9895462.58,3388849.92;9895462.58,3388849.92 14 102
山南地区 10216969.60,3385558.04;10216969.60,3385558.04 11 97
乌鲁木齐 9754288.85,5409732.61;9754288.85,5409732.61 12 92
阿拉尔 9048950.83,4918713.31;9048950.83,4918713.31 13 731
阿克苏地区 8935325.95,5009725.75;8935325.95,5009725.75 12 85
